Date,Open,High,Low,Close,Adj Close,Volume,Average,Relative to mean,% increase,Column1,Historical,,
9/10/2015,132.339996,134.570007,132.270004,133.550003,118.123680,2932200,133.4200055,0.5417514734,-0.1847503602,,,,
9/11/2015,133.160004,134.860001,132.889999,134.669998,119.114311,2628200,133.875,0.543598977,-0.2253577621,,,,
9/14/2015,134.720001,135.130005,133.729996,134.429993,118.902023,2389600,134.4300005,0.5458525546,-0.5400466516,,,,
9/15/2015,134.520004,137,134.520004,136.300003,120.556030,3761800,135.760002,0.5512530211,-0.3898044214,,,,
9/16/2015,136.259995,137.429993,136.009995,137.199997,121.352074,2505000,136.719994,0.5551510653,-0.6923183179,,,,
9/17/2015,137.360001,139.910004,136.940002,137.449997,121.573189,3405600,138.425003,0.5620742485,0.9664002115,,,,
9/18/2015,135.75,137.690002,134.399994,136.089996,120.370270,7302700,136.044998,0.5524102464,-0.06090805748,,,,
9/21/2015,136.419998,137.449997,134.940002,136.020004,120.308380,2460900,136.1949995,0.553019327,1.092271544,,,,
9/22/2015,134.490005,134.490005,132.520004,133.990005,118.512856,3465000,133.5050045,0.5420966115,0.0812115554,,,,
9/23/2015,134.660004,135,131.610001,131.669998,116.460838,4907500,133.3050005,0.541284496,1.758194401,,,,
9/24/2015,130.720001,130.770004,127.18,129.75,114.762611,5297800,128.975002,0.523702552,-0.6212541465,,,,
9/25/2015,131.570007,131.729996,129.279999,131.009995,115.877075,4149900,130.5049975,0.5299150934,0.50756207,,,,
9/28/2015,130.440002,130.479996,128.029999,128.130005,113.329735,4160000,129.2549975,0.5248394727,0.3837169249,,,,
9/29/2015,128.110001,129.149994,127.470001,128.75,113.878128,2935100,128.3099975,0.5210023035,-0.8953403036,,,,
9/30/2015,130.270004,131.410004,129.619995,130.949997,115.823997,3062500,130.5149995,0.5299557065,0.05278848553,,,,
10/1/2015,131.320007,131.789993,128.979996,130.610001,115.523277,2878400,130.3849945,0.5294278217,-0.07715044977,,,,
10/2/2015,129,132.589996,128.559998,132.559998,117.248016,3020500,130.574997,0.5301993262,-0.88315922,,,,
10/5/2015,132.279999,134.149994,131.350006,134.020004,118.539383,4587500,132.75,0.5390309184,-0.7532202847,,,,
10/6/2015,134.100006,135.539993,133.669998,134.630005,119.078926,3059600,134.6049955,0.5465631212,-0.7674338499,,,,
10/7/2015,135.690002,137.729996,135.259995,137.020004,121.192863,3263800,136.4949955,0.5542374597,-0.4933547986,,,,
10/8/2015,136.660004,139.350006,136.070007,139.039993,122.979507,2835700,137.7100065,0.5591710077,-0.6456175319,,,,
10/9/2015,139.039993,140.240005,138.360001,139.699997,123.563301,3065700,139.300003,0.565627183,-0.3634160663,,,,
10/12/2015,139.929993,141.070007,139.320007,140.679993,124.430122,1942200,140.195007,0.5692613437,0.0933956844,,,,
10/13/2015,139.440002,140.5,139.429993,140.289993,124.085121,2339700,139.9649965,0.5683273868,1.108513937,,,,
